date,mei_value
2005-08-01,0.02
2005-09-01,-0.02
2005-10-01,-0.66
2005-11-01,-0.7
2005-12-01,-0.7
2006-01-01,-0.64
2006-02-01,-0.49
2006-03-01,-0.62
2006-04-01,-0.84
2006-05-01,-0.42
2006-06-01,-0.17
2006-07-01,0.22
2006-08-01,0.59
2006-09-01,0.65
2006-10-01,0.77
2006-11-01,1.0
2006-12-01,0.64
2007-01-01,0.64
2007-02-01,0.4
2007-03-01,-0.19
2007-04-01,-0.32
2007-05-01,-0.41
2007-06-01,-0.83
2007-07-01,-0.76
2007-08-01,-0.91
2007-09-01,-1.06
2007-10-01,-1.13
2007-11-01,-1.12
2007-12-01,-1.19
2008-01-01,-1.07
2008-02-01,-1.27
2008-03-01,-1.52
2008-04-01,-1.1
2008-05-01,-0.99
2008-06-01,-0.79
2008-07-01,-0.78
2008-08-01,-1.01
2008-09-01,-1.02
2008-10-01,-1.09
2008-11-01,-0.98
2008-12-01,-1.01
2009-01-01,-1.01
2009-02-01,-0.85
2009-03-01,-0.95
2009-04-01,-0.81
2009-05-01,-0.72
2009-06-01,-0.05
2009-07-01,0.56
2009-08-01,0.56
2009-09-01,0.42
2009-10-01,0.56
2009-11-01,1.04
2009-12-01,0.95
2010-01-01,0.93
2010-02-01,1.28
2010-03-01,1.33
2010-04-01,0.49
2010-05-01,-0.12
2010-06-01,-1.29
2010-07-01,-2.42
2010-08-01,-2.38
2010-09-01,-2.26
2010-10-01,-2.16
2010-11-01,-2.01
2010-12-01,-1.85
2011-01-01,-1.77
2011-02-01,-1.59
2011-03-01,-1.75
2011-04-01,-1.69
2011-05-01,-1.24
2011-06-01,-1.03
2011-07-01,-0.75
2011-08-01,-0.81
2011-09-01,-1.08
2011-10-01,-1.3
2011-11-01,-1.14
2011-12-01,-1.18
2012-01-01,-1.07
2012-02-01,-0.68
2012-03-01,-0.59
2012-04-01,-0.38
2012-05-01,-0.32
2012-06-01,-0.28
2012-07-01,0.34
2012-08-01,-0.02
2012-09-01,-0.29
2012-10-01,-0.19
2012-11-01,-0.03
2012-12-01,-0.03
2013-01-01,-0.06
2013-02-01,-0.08
2013-03-01,-0.13
2013-04-01,-0.35
2013-05-01,-0.68
2013-06-01,-1.14
2013-07-01,-0.79
2013-08-01,-0.45
2013-09-01,-0.33
2013-10-01,-0.13
2013-11-01,-0.16
2013-12-01,-0.33
2014-01-01,-0.5
2014-02-01,-0.42
2014-03-01,-0.05
2014-04-01,-0.17
2014-05-01,-0.17
2014-06-01,0.0
2014-07-01,0.41
2014-08-01,0.23
2014-09-01,-0.1
2014-10-01,0.11
2014-11-01,0.37
2014-12-01,0.35
2015-01-01,0.23
2015-02-01,0.06
2015-03-01,0.15
2015-04-01,0.31
2015-05-01,0.95
2015-06-01,1.9
2015-07-01,1.79
2015-08-01,1.95
2015-09-01,2.24
2015-10-01,2.15
2015-11-01,1.93
2015-12-01,1.93
2016-01-01,1.93
2016-02-01,1.8
2016-03-01,1.32
2016-04-01,1.32
2016-05-01,1.24
2016-06-01,0.35
2016-07-01,-0.54
2016-08-01,-0.26
2016-09-01,-0.29
2016-10-01,-0.53
2016-11-01,-0.47
2016-12-01,-0.37
2017-01-01,-0.42
2017-02-01,-0.41
2017-03-01,-0.58
2017-04-01,-0.19
2017-05-01,0.2
2017-06-01,-0.23
2017-07-01,-0.63
2017-08-01,-0.72
2017-09-01,-0.73
2017-10-01,-0.59
2017-11-01,-0.62
2017-12-01,-0.74
2018-01-01,-0.79
2018-02-01,-0.71
2018-03-01,-0.8
2018-04-01,-1.32
2018-05-01,-0.94
2018-06-01,-0.51
2018-07-01,-0.05
2018-08-01,0.47
2018-09-01,0.62
2018-10-01,0.52
2018-11-01,0.33
2018-12-01,0.18
2019-01-01,0.09
2019-02-01,0.5
2019-03-01,0.76
2019-04-01,0.3
2019-05-01,0.23
2019-06-01,0.35
2019-07-01,0.3
2019-08-01,0.32
2019-09-01,0.16
2019-10-01,0.31
2019-11-01,0.47
2019-12-01,0.36
2020-01-01,0.24
2020-02-01,0.26
2020-03-01,0.13
2020-04-01,-0.15
2020-05-01,-0.23
2020-06-01,-0.68
2020-07-01,-0.94
2020-08-01,-0.96
2020-09-01,-1.15
2020-10-01,-1.17
2020-11-01,-1.13
2020-12-01,-1.14
2021-01-01,-1.2
2021-02-01,-0.96
2021-03-01,-0.79
2021-04-01,-0.95
2021-05-01,-1.07
2021-06-01,-1.05
2021-07-01,-1.44
2021-08-01,-1.29
2021-09-01,-1.37
2021-10-01,-1.46
2021-11-01,-1.39
2021-12-01,-1.2
2022-01-01,-1.01
2022-02-01,-0.98
2022-03-01,-1.31
2022-04-01,-1.6
2022-05-01,-1.63
2022-06-01,-1.9
2022-07-01,-2.17
2022-08-01,-1.75
2022-09-01,-1.73
2022-10-01,-1.72
2022-11-01,-1.53
2022-12-01,-1.27
2023-01-01,-1.11
2023-02-01,-0.91
2023-03-01,-0.76
2023-04-01,-0.36
2023-05-01,-0.06
2023-06-01,0.43
2023-07-01,0.51
2023-08-01,0.51
2023-09-01,0.69
2023-10-01,0.48
2023-11-01,0.91
2023-12-01,1.13
2024-01-01,0.7
2024-02-01,0.68
2024-03-01,0.78
2024-04-01,0.34
2024-05-01,0.12
2024-06-01,-0.24
2024-07-01,-0.72
2024-08-01,-0.73
2024-09-01,-0.65
2024-10-01,-0.51
2024-11-01,-0.68
2024-12-01,-0.91
2025-01-01,-1.0
2025-02-01,-0.83
2025-03-01,-0.68
2025-04-01,-0.38
2025-05-01,-0.36
2025-06-01,-1.17
2025-07-01,-1.22
2025-08-01,-0.87
2025-09-01,-1.12
2025-10-01,-1.19
2025-11-01,-1.06
2025-12-01,-0.77
2026-01-01,-0.76
2026-02-01,-0.95
2026-03-01,-1.03
